location,city,country,pollutant,value,timestamp,unit,source_name,latitude,longitude,averaged_over_in_hours
MOBILE-KICKAPOO,LINCOLN,US,pm10,7.0,2017-01-18 16:00:00 UTC,µg/m³,AirNow,35.4884,-97.09028,1.0
Oxford St Ebbes,Oxford,GB,no2,30.0,2020-04-07 20:00:00 UTC,µg/m³,DEFRA,51.744803999999995,-1.260278,1.0
BROADWAY (South),St. Louis,US,pm25,6.1,2020-04-07 19:00:00 UTC,µg/m³,AirNow,38.5425,-90.26361,1.0
"Deen Dayal Nagar, Sagar - MPPCB",Sagar,IN,pm25,23.67,2020-04-07 18:30:00 UTC,µg/m³,caaqm,23.864016,78.80289499999999,0.25
Manglerud,Oslo,NO,pm10,27.06,2020-04-07 20:00:00 UTC,µg/m³,Norway,59.89869,10.81495,1.0
Tiverton,ONTARIO,CA,o3,0.037000000000000005,2020-04-07 19:00:00 UTC,ppm,AirNow,44.2994,-81.5753,1.0
Berea BOE,Cleveland-Elyria-Mentor,US,o3,0.046,2020-04-07 20:00:00 UTC,ppm,AirNow,41.36189,-81.86461,1.0
Hull (Ile),QUEBEC,CA,o3,0.045,2020-04-07 19:00:00 UTC,ppm,AirNow,45.4369,-75.7261,1.0
Arcos,Arcos De La Frontera,ES,so2,1.0,2018-10-12 21:30:00 UTC,µg/m³,Andalucia,36.73975,-5.7437224,24.0
PC South Girard Scho,Columbus,US,pm25,13.0,2020-03-01 05:00:00 UTC,µg/m³,AirNow,32.437027,-84.99965999999999,1.0
Lake Ahquabi,Des Moines,US,o3,0.024,2017-06-14 11:00:00 UTC,ppm,AirNow,41.2853,-93.5839,1.0
Murphy Ridge,Evanston,US,o3,0.048,2020-04-07 20:00:00 UTC,ppm,AirNow,41.3694,-111.0419,1.0
Wicken Fen,Wicken Fen,GB,o3,93.0,2020-04-07 20:00:00 UTC,µg/m³,DEFRA,52.2985,0.290917,8.0
Duluth-WDSE,Duluth,US,pm25,9.0,2020-04-07 20:00:00 UTC,µg/m³,AirNow,46.8183,-92.0892,1.0
Blaine,Minneapolis-St. Paul-Bloomington,US,pm10,8.0,2020-04-07 20:00:00 UTC,µg/m³,AirNow,45.1425,-93.2139,1.0
