order_id,order_date,customer_id,city,province,product_id,brand,quantity,item_price,total_price
1697179,01-10-19,14360,Yogyakarta,Yogyakarta,P3327,BRAND_S,12,1024000,12288000
1697212,01-10-19,16400,Surakarta,Jawa Tengah,P0798,BRAND_C,1,747000,747000
1697032,01-10-19,15521,Jakarta Selatan,DKI Jakarta,P2880,BRAND_R,12,450000,5400000
1697254,01-10-19,16393,Jakarta Utara,DKI Jakarta,P2099,BRAND_L,2,590000,1180000
1697242,01-10-19,14239,Yogyakarta,Yogyakarta,P2080,BRAND_L,3,2095000,6285000
1697278,01-10-19,12720,Denpasar,Bali,P3360,BRAND_S,6,1150000,6900000
1697176,01-10-19,13949,Jakarta Selatan,DKI Jakarta,P3013,BRAND_R,3,1745000,5235000
1697179,01-10-19,14360,Yogyakarta,Yogyakarta,P4144,BRAND_W,25,159000,3975000
1697335,01-10-19,17460,Jakarta Selatan,DKI Jakarta,P4009,BRAND_W,12,1045000,12540000
1697263,01-10-19,15462,Malang,Jawa Timur,P2958,BRAND_R,12,450000,5400000
1697011,01-10-19,14944,Bandung,Jawa Barat,P0170,BRAND_A,8,1325000,10600000
1697206,01-10-19,16904,Bandung,Jawa Barat,P0317,BRAND_B,1,5262000,5262000
1697278,01-10-19,12720,Denpasar,Bali,P3082,BRAND_R,6,1045000,6270000
1697179,01-10-19,14360,Yogyakarta,Yogyakarta,P0377,BRAND_B,6,1024000,6144000
1697302,01-10-19,0,unknown,unknown,P2087,BRAND_L,3,1748000,5244000
1697251,01-10-19,14208,Jakarta Selatan,DKI Jakarta,P2458,BRAND_P,8,604000,4832000
1697329,01-10-19,15311,Bogor,Jawa Barat,P1901,BRAND_J,3,740000,2220000
1697278,01-10-19,12720,Denpasar,Bali,P2923,BRAND_R,1,3844000,3844000
1697212,01-10-19,16400,Surakarta,Jawa Tengah,P0055,BRAND_A,1,520000,520000
1697299,01-10-19,17841,Jakarta Utara,DKI Jakarta,P1903,BRAND_J,2,740000,1480000
1697215,01-10-19,14667,Jakarta Selatan,DKI Jakarta,P1821,BRAND_I,6,904000,5424000
1697299,01-10-19,17841,Jakarta Utara,DKI Jakarta,P2482,BRAND_P,1,520000,-520000
1697245,01-10-19,14156,Palangkaraya,Kalimantan Tengah,P2972,BRAND_R,8,884000,7072000
1697299,01-10-19,17841,Jakarta Utara,DKI Jakarta,P2555,BRAND_P,1,904000,904000
1697242,01-10-19,14239,Yogyakarta,Yogyakarta,P1803,BRAND_H,16,1745000,27920000
1697269,01-10-19,18230,Jakarta Selatan,DKI Jakarta,P2227,BRAND_M,12,2095000,25140000
1697278,01-10-19,12720,Denpasar,Bali,P2218,BRAND_M,2,2987000,5974000
1697179,01-10-19,14360,Yogyakarta,Yogyakarta,P3250,BRAND_S,12,310000,3720000
1697026,01-10-19,15513,Jakarta Pusat,DKI Jakarta,P4009,BRAND_W,32,904000,28928000
1697002,01-10-19,17449,Semarang,Jawa Tengah,P1738,BRAND_H,24,450000,10800000
1697017,01-10-19,17700,Surakarta,Jawa Tengah,P0039,BRAND_A,24,113000,2712000
1697176,01-10-19,13949,Jakarta Selatan,DKI Jakarta,P2324,BRAND_N,24,149000,3576000
1697179,01-10-19,14360,Yogyakarta,Yogyakarta,P3583,BRAND_S,12,159000,1908000
1697302,01-10-19,0,unknown,unknown,P0737,BRAND_C,6,873000,5238000
